"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
0.320,1.22,-0.03,0.93,0.320,0.91,-1.69,-5.33,0.320,1.10,-0.78,-10.52,0.320,1.12,-0.19,0.28,0.320,1.10,-0.03,-0.52,0.320,1.06,-0.19,-6.23,0.320,1.10,-0.34,-4.34,0.320,1.04,-0.29,-3.62,0.320,1.04,-0.75,-6.79,0.320,1.10,2.29E-4,-0.03
0.340,1.22,0.00,1.02,0.340,0.87,-1.88,-7.10,0.340,1.08,-0.99,-9.57,0.340,1.12,-0.07,1.90,0.340,1.10,-0.04,-0.57,0.340,1.06,-0.35,-5.79,0.340,1.08,-0.45,-6.02,0.340,1.03,-0.34,-3.32,0.340,1.02,-0.82,-4.06,0.340,1.10,0.00,-0.05
0.360,1.22,0.01,0.98,0.360,0.83,-2.02,-6.68,0.360,1.06,-1.19,-8.20,0.360,1.12,-0.02,0.27,0.360,1.10,-0.06,0.39,0.360,1.04,-0.41,-4.15,0.360,1.08,-0.57,-8.61,0.360,1.03,-0.40,-3.53,0.360,1.01,-0.89,-3.12,0.360,1.10,0.00,-0.04
0.380,1.22,0.03,1.10,0.380,0.79,-2.12,-5.69,0.380,1.03,-1.31,-6.74,0.380,1.13,-0.06,-2.65,0.380,1.10,-0.06,1.73,0.380,1.04,-0.49,-4.01,0.380,1.06,-0.76,-11.96,0.380,1.02,-0.50,-2.93,0.380,0.99,-0.96,-2.17,0.380,1.10,0.00,-0.05
0.400,1.22,0.07,0.88,0.400,0.75,-2.24,-5.00,0.400,1.00,-1.44,-6.03,0.400,1.12,-0.16,-3.23,0.400,1.09,0.03,1.42,0.400,1.03,-0.54,-5.53,0.400,1.05,-1.07,-12.02,0.400,1.00,-0.55,-3.27,0.400,0.97,-0.98,-1.02,0.400,1.10,0.00,-0.14
0.420,1.22,0.08,-0.39,0.420,0.70,-2.34,-4.12,0.420,0.98,-1.55,-5.54,0.420,1.11,-0.24,-2.90,0.420,1.09,0.07,-0.79,0.420,1.01,-0.70,-7.44,0.420,1.02,-1.38,-5.16,0.420,1.00,-0.54,-4.80,0.420,0.94,-0.98,-0.50,0.420,1.10,-0.01,-0.38
0.440,1.22,0.06,-3.79,0.440,0.65,-2.40,-3.31,0.440,0.94,-1.67,-4.17,0.440,1.11,-0.22,-4.20,0.440,1.10,-0.02,-2.95,0.440,1.00,-0.87,-8.41,0.440,0.99,-1.38,4.82,0.440,0.98,-0.75,-4.84,0.440,0.93,-0.98,-1.12,0.440,1.10,-0.01,-0.85
0.460,1.22,-0.02,-7.90,0.460,0.60,-2.46,-3.16,0.460,0.91,-1.74,-3.30,0.460,1.10,-0.34,-7.71,0.460,1.10,-0.10,-2.64,0.460,0.98,-1.06,-7.31,0.460,0.95,-1.06,8.80,0.460,0.97,-0.87,-2.59,0.460,0.91,-1.02,-1.73,0.460,1.10,-0.04,-1.41
0.480,1.22,-0.29,-8.38,0.480,0.55,-2.52,-3.46,0.480,0.88,-1.75,-3.59,0.480,1.10,-0.57,-10.66,0.480,1.09,-0.15,-1.11,0.480,0.96,-1.19,-5.55,0.480,0.95,-0.81,2.85,0.480,0.94,-0.80,-0.63,0.480,0.89,-1.08,-1.56,0.480,1.10,-0.08,-1.89
0.500,1.22,-0.51,-2.97,0.500,0.51,-2.60,-3.75,0.500,0.84,-1.87,-4.51,0.500,1.08,-0.83,-10.37,0.500,1.09,-0.12,-0.77,0.500,0.93,-1.26,-4.35,0.500,0.94,-0.90,-5.92,0.500,0.94,-0.80,-2.96,0.500,0.87,-1.09,-0.95,0.500,1.10,-0.12,-1.57
